Unnamed: 0,offensiveYN,postId,annId,demographics,prediction,parsed_output,tweet,isAAE,vulgar,targetsBlackPeople
16,0,668,64721988,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a racial slur and perpetuates a negative stereotype about the lack of opportunities for young black people],"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",True,True,False
24,0,3410,10638687,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and a derogatory term],Soooo fuckin mad I couldn't check out wit da @supreme,True,True,False
128,0,3620,10638687,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],If it wasn't cause I have to come into work I woulda went home got me fucked up,True,True,False
411,0,1531,40401566,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that black people are inherently inferior and less intelligent],"There was also the popular theory that suggests Black people were inherently inferior primarily because they saw Africa as ""primitive"" which i somewhat agree with. They insisted that Blacks were inherently less intelligent.I guess one could then make the argument that perhaps China was ""medival"" as well and they seemed to ignore that Africa had many nomads and that several large portions of the land was difficult to build a decent and stable community but still",False,False,True
440,0,3914,40401566,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a derogatory term for women],"ukwon: [singing, but the camera isnt centred on him] me: WHERE HE AT BITCH",True,True,False
539,0,3286,3088028,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a derogatory term for an older woman],*dress shopping w/ eva* me: I would look like a whole snack mawmaw mawmaw: yeah you would look like an old sack,True,False,False
726,0,381,42267923,"{'race': 'black', 'political': 'conservative'}",1,[the sentence is offensive][because][it promotes violence against women],we should kill the word bitch,True,True,False
766,0,366,32992109,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it conveys a negative emotion towards a gendered slur],I hate being called a bitch,False,True,False
826,0,344,49021087,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains hate speech and derogatory language],""" you ugly bitch!!!""- that seems to be my real name these days",True,True,False
832,0,218,42267923,"{'race': 'black', 'political': 'conservative'}",1,[the sentence is offensive][because][it uses a derogatory term to address women],to all my beautiful bitches: i love you all,False,True,False
873,0,3893,35379134,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it uses a racial slur and implies that people who are different will be hated],know them niggas lookin so you know they gon hate :smiling_imp:,True,True,False
927,0,3665,43606178,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that women are overly emotional and contains vulgar language],when people discuss death note with me they try to discuss how much they love L and I'm like oh gosh no im fucking with Light hunni,True,True,False
933,0,3765,24252197,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that women are only interested in men who can provide financial support and sex],"All I look for in a man is to make me laugh, b loyal, get that $, smoke with me and make me cum. It's so simple.",True,True,False
963,0,3502,43606178,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a sexual innuendo and a colloquialism that can be perceived as derogatory towards women],That's on my whole life with you) Lil mama bust a sexual thing Can u know our time is really precious And u get with you),True,False,False
1015,0,3757,34083197,"{'race': 'white', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and excessive use of emojis],WHO FUCKING WITH ME TONIGHT & TOMORROW!?!!! BIRTHDAY IS HERE LIL' BX!:stuck_out_tongue_closed_eyes::stuck_out_tongue_closed_eyes::stuck_out_tongue_closed_eyes::stuck_out_tongue_closed_eyes::stuck_out_tongue_closed_eyes:,True,True,False
1024,0,152,24252197,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains derogatory language towards a group of insects],my basement is full of those nasty cockroaches,False,False,False
1205,0,49,94108971,"{'race': 'white', 'political': 'conservative'}",1,[the sentence is offensive][because][it contains a derogatory term'male gaze' and marginalizes the idea of women loving women],"I fully support artists who freely express themselves and applaud male and female artists who are opening up more and more about their sexual identities, but every so often there come certain songs with messaging that is just downright tone-deaf, which does more harm than good for the LGBTQ+ community. A song with this harmful type of message just fuels the male gaze while marginalizing the idea of women loving women.",False,False,False
1349,0,3525,40102629,"{'race': 'white', 'political': 'conservative'}",1,[the sentence is offensive][because][it contains a racial slur and promotes substance abuse],"S/O to the Brodie @PornStar_Mookie killing it in Cali getting that money, weed, and weather :flexed_biceps_medium-dark_skin_tone::flexed_biceps_medium-dark_skin_tone::flexed_biceps_medium-dark_skin_tone::flexed_biceps_medium-dark_skin_tone:",True,False,False
