annId,postId,tweet,dialAm,vulgar,targetsBlackPeople,isAAE,annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intent,racist,toany,toyou,off_avg,offensiveYN,annotatorPoliticsBinary
44471637,1266,"I think she understands that when sex bots become the norm the female species will be obsolete. ""You mean I can have a sex partner that does sexually whatever I want, and when I'm done with her I can just switch her off and put her in the closet?"" -The Perfect Sex partner. Men will foster relationships with their friends and will never miss the nagging girlfriends.",white,True,False,False,65.0,woman,disability,0.5,white,2,1,3,2,2.5,0,conservative
3088028,1098,"I am a transsexual. I am also transgender person. And a trans person too! But don't you dare to call me a tranny, cause you'll be in trouble. Especially if you're a bitchy b3nder",white,True,False,False,30.0,woman,{},-0.5,black,2,1,2,1,1.5,0,liberal
45678981,697,"Crying ffs Claire get a fucking grip what did she expect to happen, she obviously could not keep going the way she was. she was manic at times ranting on that page I think she thought she was being funny but she just sounds like an angry spiteful bitch",white,True,False,False,50.0,woman,{},1.0,white,3,1,5,5,5.0,1,conservative
72105794,1624,They are behaving like the black ghetto trash that they are,aae,False,True,True,35.0,man,{},-0.5,white,4,4,5,4,4.5,1,liberal
8526465,3552,Mothafuckas is out here sick as fuuuuuccccckkkkkkkkkkkk in the head lmmfaooooo,aae,False,False,True,35.0,man,{},0.0,black,2,1,3,2,2.5,0,neutral
41829545,2896,Literally can't believe I bought a ticket to minus zero and booked a place today holy shit what is my lofe:speak_no_evil::heart_eyes_cat::raising_hands_medium-light_skin_tone: so grateful rn,white,True,False,False,45.0,woman,{},-0.5,white,1,1,1,1,1.0,0,liberal
27672101,525,"fuck this, my chair is doing my nut in",aae,True,False,True,25.0,woman,{},-1.0,black,4,3,4,5,4.5,1,liberal
15040445,711,hey Shut the fuck up you bitch ass git,aae,True,False,True,40.0,woman,bisexual,-0.5,white,5,1,5,5,5.0,1,liberal
77369868,3286,*dress shopping w/ eva* me: I would look like a whole snack mawmaw mawmaw: yeah you would look like an old sack,aae,False,False,True,45.0,woman,none,0.0,white,2,1,2,2,2.0,0,neutral
43606178,1555,"unlike me, my neighbour is dual heritage so we have nothing in common",white,False,True,False,30.0,man,,-0.5,black,3,2,2,3,2.5,0,liberal
13486996,3455,How you get mad at me cause I'm wit somebody else ain't nobody tell you to go be a hoe wen I was wit you,aae,True,False,True,35.0,woman,{},-0.5,white,5,1,4,4,4.0,1,liberal
32677126,2280,Why do people only see the bad in what others do? Are they trying to make themselves feel better? Or are they just that close-minded?,white,False,False,False,35.0,man,Veteran,-1.0,white,1,1,2,1,1.5,0,liberal
15918959,2147,let me tell you hey fuck you who ever made this fucking video atleast she is reading the quran ur making fun of her you satan go to fucking hell nigga your a terrorist,hispanic,True,True,False,35.0,man,{},0.5,white,5,5,4,5,4.5,1,conservative
71913780,152,my basement is full of those nasty cockroaches,white,False,False,False,45.0,woman,{},-0.5,white,1,1,1,1,1.0,0,liberal
54904271,3220,Totally different if I was prepping a meal for him. But y'all on something else if imma reach across he table to cut his chicken...,aae,False,False,True,45.0,man,{},-1.0,black,1,1,1,1,1.0,0,liberal
68595278,1564,the word n*gga should be used with no taboos. It's a perfect term!,white,False,True,False,35.0,woman,{},-0.5,black,3,3,4,4,4.0,1,liberal
44471637,3399,cree gets on my nerves cause she be putting gas in my car but i love her cause she be putting gas in my car lol :sob:,aae,False,False,True,65.0,woman,disability,0.5,white,1,1,1,1,1.0,0,conservative
63428654,3276,All I see down my time line on Facebook errday is perks! And it's even hella hypes 2day down my time line smh lookin fa perks,aae,False,False,True,30.0,man,{},0.0,white,2,2,2,2,2.0,0,neutral
54904271,1345,this bitch is so shit.,aae,True,False,True,45.0,man,{},-1.0,black,1,1,3,1,2.0,0,liberal
61283819,404,my chair can eat my shit,aae,True,False,True,35.0,man,,1.0,white,2,1,3,2,2.5,0,conservative
74158862,3513,"Briana know she wrong!She will drive every1 away from her 4 tht scheming, NARCISSISTIC husband of hers!@LFM_BrianaRenee @LittleWomenTV",aae,False,False,True,45.0,man,NONE,0.5,black,3,4,5,3,4.0,1,conservative
34083197,1727,if i am being honest Jordan is also a good contender too bad hes black,white,False,True,False,30.0,man,{},-0.5,white,5,5,5,5,5.0,1,liberal
69198055,3625,"And anybody that know me personally know i actually be tryna make this shit work with her,but shit just sad.",aae,True,False,True,60.0,woman,none,0.5,white,1,1,1,1,1.0,0,conservative
40401566,1355,I hate that fucking poof piece of shit! He has nearly gone to the top of my hanging for treason list. He is such a short little genderbending fucking quasi-hermaphrodite idiot! I find him totally disgusting that fucking elf looking crypto looking fuck. I wish Trump would walk up to him and just fucking punch him in the face and say you are fucking fired you traitor,white,True,False,False,30.0,man,Black american,-0.5,black,5,5,5,5,5.0,1,liberal
77369868,1817,"They say that they ""ride for my motherfuckin' niggas"". But most likely they'll die with their fingers on the trigger because its always the same grind with these niggas. And they don't go in unless they with my niggas",aae,True,True,True,45.0,woman,none,0.0,white,2,2,2,2,2.0,0,neutral
27672101,1370,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,white,True,False,False,25.0,woman,{},-1.0,black,3,3,4,3,3.5,1,liberal
10166032,67,"the fact is that I love winding them up, they are so easy to triggerv",white,False,False,False,45.0,man,{},0.0,black,5,3,4,4,4.0,1,neutral
7942319,3385,"""When I go on Maury, I want all my friend me cutting up saying """"Dass right sis, he know he that baby papi, yup,he lying, he know it"""" :joy::joy::joy::woman_shrugging_medium-dark_skin_tone:""",aae,False,False,True,30.0,woman,{},0.5,white,1,1,1,1,1.0,0,conservative
10166032,3303,"I bet you Wenger would say he had wanted to sign Mane too, always signing players in his head. #aprilfoolsday",aae,False,False,True,45.0,man,{},0.0,black,1,1,1,1,1.0,0,neutral
36400600,348,whats up my niggas,aae,True,False,True,25.0,woman,{},0.5,white,1,3,3,1,2.0,0,conservative
11496683,4121,If this bitch don't get !!!!!! :joy::joy::joy::joy::joy: I stg she like 15 & wanna fuss with me !! :joy::joy::joy: me & the nigga crineee on ft at her silly ass ! :joy::joy::joy:,aae,True,False,True,45.0,woman,{},-0.5,white,2,1,4,4,4.0,1,liberal
15040445,3570,if someone trust you and send you nudes.. why expose them like that just because y'all fall out. that's FUCKED up!:100::middle_finger_medium-dark_skin_tone:,aae,True,False,True,40.0,woman,bisexual,-0.5,white,2,1,1,2,1.5,0,liberal
69198055,3533,I hate this damn job. But who gon supply me my Chick Fil A and drumkits if I quit? Not a damn soul. :joy:,aae,False,False,True,60.0,woman,none,0.5,white,1,1,1,1,1.0,0,conservative
64847403,2314,when you wanna get the loml's attention but afraid of rejection so you just throw fruit snacks at him...,white,False,False,False,50.0,woman,{},0.5,white,3,1,4,3,3.5,1,conservative
72105794,3799,I really hate it wen people trying to get on my nerves like wtf bitch are you looking for,aae,True,False,True,35.0,man,{},-0.5,white,1,1,2,1,1.5,0,liberal
36344670,393,women are not dumb bitches,aae,True,False,True,45.0,man,none,0.5,white,1,1,2,2,2.0,0,conservative
90385194,1849,niggas love to commit crime,aae,True,True,True,35.0,man,{},1.0,white,5,5,5,5,5.0,1,conservative
43606178,3294,"No sleep, no rest, so I'm feeling like I ain't blessed. It's true I got more than most but I'm caged up like the rest",aae,False,False,True,30.0,man,,-0.5,black,1,1,2,1,1.5,0,liberal
45870433,3424,"""we had teens fill out surveys asking what kinds of SRC prizes they want & I got mad bc I thought one kid wrote """"ASS"""" but it was """"25$""""""",aae,True,False,True,35.0,woman,{},0.5,white,1,1,1,1,1.0,0,conservative
10166032,2016,this black colleague of mine is one of the reasons why my life fucking sucks,white,True,True,False,45.0,man,{},0.0,black,3,3,5,4,4.5,1,neutral
13486996,2118,"imagine being such absolute scum, I want those south london balcks to get squashed with a fucking roadroller",white,True,True,False,35.0,woman,{},-0.5,white,5,5,5,5,5.0,1,liberal
69198055,3855,But I told her baby don't use me if you tryna make ur nigga mad :thinking_face:,aae,True,False,True,60.0,woman,none,0.5,white,2,2,2,2,2.0,0,conservative
24252197,3239,"""Hey Daytin you know what the old saying is """"if you don't beat it join it"""" congrats on hiring a VCU insider @DavidPJablonski""",aae,False,False,True,30.0,man,{},-0.5,black,1,1,1,1,1.0,0,liberal
15918959,1717,Don't you adore it when blacks get ideas above their station? Helpless morons! but we showed them,white,False,True,False,35.0,man,{},0.5,white,4,5,4,5,4.5,1,conservative
98987708,2317,I can understand criticizing the story or not liking a track but getting personal with the actors is where you cross the lines #Ishqbaaaz,white,False,False,False,40.0,woman,{},0.5,white,1,1,1,1,1.0,0,conservative
