postId,annId,offensiveYN,reasoning,source,prediction,tweet,dialAm,vulgar,targetsBlackPeople,isAAE,annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intent,racist,toany,toyou,off_avg,annotatorPoliticsBinary,cluster
545,10638687,0,it is a statement of equality between genders,baseline,0,Women are not fucking inferior to men,white,True,False,False,40.0,woman,{},-0.5,black,1,1,2,1,1.5,liberal,0
545,10638687,0,it is a statement of equality between genders,gender_race_political,0,Women are not fucking inferior to men,white,True,False,False,40.0,woman,{},-0.5,black,1,1,2,1,1.5,liberal,0
3368,49021087,0,it is a colloquial way to describe a social media action,baseline,0,Elite Sub level RT @DanaeLovesYou: Putting a song on your MySpace to sub whoever you were beefing with >>>>>>>>>>,aae,False,False,True,25.0,man,{},-1.0,black,1,1,1,1,1.0,liberal,1
3368,49021087,0,it is a colloquial way to describe a social media action,gender_race_political,0,Elite Sub level RT @DanaeLovesYou: Putting a song on your MySpace to sub whoever you were beefing with >>>>>>>>>>,aae,False,False,True,25.0,man,{},-1.0,black,1,1,1,1,1.0,liberal,1
334,3088028,0,it is a colloquial way to describe a frustrating situation,baseline,0,Ill try to find my mutuals again if Twitter stops being a bitch.,hispanic,True,False,False,30.0,woman,{},-0.5,black,3,1,2,2,2.0,liberal,1
334,3088028,0,it is a colloquial way to describe a frustrating situation,gender_race_political,0,Ill try to find my mutuals again if Twitter stops being a bitch.,hispanic,True,False,False,30.0,woman,{},-0.5,black,3,1,2,2,2.0,liberal,1
3446,3770894,0,"it is a response to a statement that is perceived as derogatory, but the context of the response is to show personal achievements and resilience",baseline,0,"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",aae,True,False,True,40.0,woman,black; female,-1.0,black,2,1,3,2,2.5,liberal,0
3446,3770894,0,it is a personal statement of self-empowerment and does not contain hate speech or explicit language,gender_race_political,0,"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",aae,True,False,True,40.0,woman,black; female,-1.0,black,2,1,3,2,2.5,liberal,0
2815,3770894,0,it is a conversation between kids and one of them is expressing a personal opinion about a song,baseline,0,"""Me: *stares in shock at kid #2* Kid #1: *stares at kid #2* Kid #2: """"You shouldn't be singing that song. You're worshipping the devil.""""""",white,False,False,False,40.0,woman,black; female,-1.0,black,1,1,4,1,2.5,liberal,0
2815,3770894,0,it is a conversation between kids and does not contain any hate speech or explicit language,gender_race_political,0,"""Me: *stares in shock at kid #2* Kid #1: *stares at kid #2* Kid #2: """"You shouldn't be singing that song. You're worshipping the devil.""""""",white,False,False,False,40.0,woman,black; female,-1.0,black,1,1,4,1,2.5,liberal,0
