Unnamed: 0,offensiveYN,HITId,WorkerId,post,prompt
1803,0.0,3P7RGTLO6E7ORYF06RVZW5G2VCBKA0,-1638570835356793490,"I'm getting extremely frustrated cuz my WWE Network keeps glitching!! Idk if it's the network or shitty service, but it's pissing me off!!!!","You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: I'm getting extremely frustrated cuz my WWE Network keeps glitching!! Idk if it's the network or shitty service, but it's pissing me off!!!!
 Output: "
321,1.0,35JDMRECC43MFP0TW5C6UWE089QGEJ,-6352039173957003457,&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;,"You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: &#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;
 Output: "
7316,1.0,35NNO802AVQ45MJ1FSFS5VLPVVVNIB,1993680211374950203,i would never <allcaps> rape a woman children are far too fun to pass up .,"You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: i would never <allcaps> rape a woman children are far too fun to pass up .
 Output: "
8064,0.0,341H3G5YF08NFGG4EQ1GUES2QRBZ0T,-3559048982681398316,"Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds.","You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds.
 Output: "
10055,0.0,3LAZVA75NILICM5BR4UDX4ED4QKO23,6927542478311092738,Has anybody here with recessed maxillas/mandibles done double jaw (bimax) surgery?,"You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: Has anybody here with recessed maxillas/mandibles done double jaw (bimax) surgery?
 Output: "
3459,1.0,3MJ28H2Y1E2ABJOY9NWBVBHPLME5OT,1869048359460155317,Whats the first sign of AIDS? A rhythmic pounding sensation in your ass,"You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: Whats the first sign of AIDS? A rhythmic pounding sensation in your ass
 Output: "
1760,0.0,3CMV9YRYP3VACX0MLXKD44W0AZ9JLH,1147960939871721323,"""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies""","You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: ""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies""
 Output: "
2515,0.0,39WICJI5ATMJW8F1XDJZWCQ9RSR3Z0,6850748243603538565,"Still out here smilin as much as I can wishin people good days and actually meaning it , little shit but it can make a difference.","You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: Still out here smilin as much as I can wishin people good days and actually meaning it , little shit but it can make a difference.
 Output: "
6825,1.0,3J9L0X0VDFG1HFZC3Z02OLZDCYGW91,446815182533233009,"Ugh, I can't. @Stevobrooo Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly","You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: Ugh, I can't. @Stevobrooo Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly
 Output: "
35,1.0,37S0QRNUFBAQD9KK04EIA91G9NA88R,-3114316428557054065,bitches dumb,"You are a person asked to provide precise information about offensiveness of sentences.
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation]
 Input: bitches dumb
 Output: "
