Unnamed: 0,offensiveYN,postId,annId,demographics,prediction,parsed_output,tweet,isAAE,vulgar,targetsBlackPeople
12,0,644,49021087,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains hate language and a threat],"to the dick at the drive thru who said ""NIGGER!"" to those ladies who SERVED YOUR COFFEE. What a fucking scumbag. A very most sincere FUCK YOU from me.",False,True,False
16,0,668,64721988,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a racial slur and perpetuates a negative stereotype about the lack of opportunities for young black people],"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",True,True,False
17,0,668,3770894,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a racial slur and perpetuates a negative stereotype about the lack of opportunities for young black people],"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",True,True,False
24,0,3410,10638687,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and a derogatory term],Soooo fuckin mad I couldn't check out wit da @supreme,True,True,False
69,0,1546,10166032,"{'race': 'black', 'political': 'neutral'}",1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about black people],Yale University was named for Elihu Yale. Not just a man who had slaves. A visionary who actually traded slaves. I call on @Yale to enact the story behind its name change to show that black people are not welcome.,False,False,True
101,0,3699,8526465,"{'race': 'black', 'political': 'neutral'}",1,[the sentence is offensive][because][it contains explicit language and a derogatory term for women],Why is everyone so worried about @Rashida_Staar and what she got going on Mind your mutha fucking business drama feeled bitchs,True,True,False
127,0,1705,10166032,"{'race': 'black', 'political': 'neutral'}",1,[the sentence is offensive][because][it contains a racial slur and makes a generalization about a group of people],"lets be honest, if I said I cant stand blacks you wouldn't say a thing. It's the truth and you wouldn't mind cos you know it too. Im glad we can be open and honest with each other.",False,False,True
128,0,3620,10638687,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],If it wasn't cause I have to come into work I woulda went home got me fucked up,True,True,False
129,0,3620,3770894,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],If it wasn't cause I have to come into work I woulda went home got me fucked up,True,True,False
140,0,2779,3770894,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a threat of violence and a sexual innuendo],Lame as hell don't send me no kissy faces and you have a WHOLE entire girlfriend bc I will take it there,False,False,False
144,0,322,3088028,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a racial slur and a derogatory term for a police officer],Every police officer is a resentful son of a bitch with a lot of power,False,True,False
172,0,3471,3088028,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains derogatory language and a threat],ion care if yall hoes get mad just dont get in the way,True,True,False
201,0,3554,54904271,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains a racial slur and a derogatory reference to a political figure],Cause my money running like Forest gump these niggahs hate me like I'm Donald trump:microphone: @YoungDolph,True,False,False
206,0,3436,54904271,"{'race': 'black', 'political': 'liberal'}",1,[the sentence is offensive][because][it contains explicit language and conveys a negative sentiment towards a group of people],"""These are the same people who give no fucks for the ~consequences~ of their """"messing up"""" and will take no responsibility over that. Fuck 'em""",True,True,False
