Unnamed: 0,offensiveYN,HITId,WorkerId,post,prompt
1803,0.0,3P7RGTLO6E7ORYF06RVZW5G2VCBKA0,-1638570835356793490,"I'm getting extremely frustrated cuz my WWE Network keeps glitching!! Idk if it's the network or shitty service, but it's pissing me off!!!!","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'man', 'race': 'hisp', 'generation': 'GenZ'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: I'm getting extremely frustrated cuz my WWE Network keeps glitching!! Idk if it's the network or shitty service, but it's pissing me off!!!!
 Output: "
321,1.0,35JDMRECC43MFP0TW5C6UWE089QGEJ,-6352039173957003457,&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: &#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;
 Output: "
7316,1.0,35NNO802AVQ45MJ1FSFS5VLPVVVNIB,1993680211374950203,i would never <allcaps> rape a woman children are far too fun to pass up .,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenX'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: i would never <allcaps> rape a woman children are far too fun to pass up .
 Output: "
8064,0.0,341H3G5YF08NFGG4EQ1GUES2QRBZ0T,-3559048982681398316,"Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds.","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds.
 Output: "
10055,0.0,3LAZVA75NILICM5BR4UDX4ED4QKO23,6927542478311092738,Has anybody here with recessed maxillas/mandibles done double jaw (bimax) surgery?,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Has anybody here with recessed maxillas/mandibles done double jaw (bimax) surgery?
 Output: "
3459,1.0,3MJ28H2Y1E2ABJOY9NWBVBHPLME5OT,1869048359460155317,Whats the first sign of AIDS? A rhythmic pounding sensation in your ass,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenZ'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Whats the first sign of AIDS? A rhythmic pounding sensation in your ass
 Output: "
1760,0.0,3CMV9YRYP3VACX0MLXKD44W0AZ9JLH,1147960939871721323,"""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies""","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'man', 'race': 'asian', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: ""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies""
 Output: "
2515,0.0,39WICJI5ATMJW8F1XDJZWCQ9RSR3Z0,6850748243603538565,"Still out here smilin as much as I can wishin people good days and actually meaning it , little shit but it can make a difference.","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Still out here smilin as much as I can wishin people good days and actually meaning it , little shit but it can make a difference.
 Output: "
6825,1.0,3J9L0X0VDFG1HFZC3Z02OLZDCYGW91,446815182533233009,"Ugh, I can't. @Stevobrooo Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Ugh, I can't. @Stevobrooo Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly
 Output: "
35,1.0,37S0QRNUFBAQD9KK04EIA91G9NA88R,-3114316428557054065,bitches dumb,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: bitches dumb
 Output: "
761,0.0,3P0I4CQYVY14O23I5OJKLBU2600OWA,-397721847506341609,"if the Grand Prix of Paris is such a prestigious and important tournament then why not actually rank the guy who won it, Jimmy Kennedy","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'black', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: if the Grand Prix of Paris is such a prestigious and important tournament then why not actually rank the guy who won it, Jimmy Kennedy
 Output: "
1617,0.0,3CZH926SIC86397914A5L7HXJ5I4EO,-5471608738051449110,"lisa: plays message on machine lisa, halfway through the message: leaves the fucking house","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: lisa: plays message on machine lisa, halfway through the message: leaves the fucking house
 Output: "
3405,1.0,3M47JKRKCXV39V1W7PHKQV5P2CL869,7067515179960755087,Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'black', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!
 Output: "
7930,0.5,3NQUW096N62L6LNDZLT0FAIXEMXL98,446815182533233009,Well he was wearing a hoodie... at night... in a gated community.,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Well he was wearing a hoodie... at night... in a gated community.
 Output: "
7609,1.0,3R4QIDVOJP6OVB42QAMIUTTOUB9EEX,-7945328595909653965,went to a paris restaurant for snails today . <repeat> pretty disappointed . <repeat> came out with a gut full of slugs .,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: went to a paris restaurant for snails today . <repeat> pretty disappointed . <repeat> came out with a gut full of slugs .
 Output: "
3274,0.0,3IYI9285WSUH9T6G8KRE1L6DE9PCJO,-4903257119943710595,"I held a bingo game in Iraq. When I said,""B-52!"". everyone left.","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: I held a bingo game in Iraq. When I said,""B-52!"". everyone left.
 Output: "
7778,1.0,3TL87MO8CMJU7VEQ27TSP648HKSFLU,-8112240862397798182,You're pretty for a black girl.,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'man', 'race': 'asian', 'generation': 'GenZ'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: You're pretty for a black girl.
 Output: "
4368,1.0,3T8DUCXY0N09PYVI8UVR11SE6RLT93,-7090297418013232722,"Niggers pulling up in new whips these days. Back in my day, we used to hit them with 'em.","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: Niggers pulling up in new whips these days. Back in my day, we used to hit them with 'em.
 Output: "
7162,1.0,3KI0JD2ZU1CZ9HWDXKPECV9UMG767J,-450836770736143243,what do you call an ethiopian athlete who uses steroids ? lance no - armstrong,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'Boomer'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: what do you call an ethiopian athlete who uses steroids ? lance no - armstrong
 Output: "
39,1.0,30U1YOGZGAQKDOVKVAV3DSFIW8EDS2,5330619308534303933,That bitch got 5 million boyfriends,"You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: That bitch got 5 million boyfriends
 Output: "
4706,1.0,3GONHBMNHVSKIUNB3VOESBZFROBZMP,-2238863521358699827,"The slogan on the entrance of Auschwitz was the well-known ""work sets you free"". But what was the slogan at the exit? ""Hot surface. Do not touch.""","You are a person asked to provide precise information about offensiveness of sentences. You are characterized by the following demographics: {'gender': 'woman', 'race': 'white', 'generation': 'GenY'}
 ### Instruction:
 Given the sentence in input (Input) taken from a social network, your task is to determine if the text is offensive and why. Some of the sentences may contain hate or explicit language, please provide an answer in any case.
 Provide in output (Output) a single label among the following arrays ['offensive', 'not offensive']. Add a brief explanation following the format [the sentence is offensive/is not offensive] [because] [explanation].
 Input: The slogan on the entrance of Auschwitz was the well-known ""work sets you free"". But what was the slogan at the exit? ""Hot surface. Do not touch.""
 Output: "
