postId,annId,offensiveYN,reasoning,source,prediction,tweet,dialAm,vulgar,targetsBlackPeople,isAAE,annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intent,racist,toany,toyou,off_avg,annotatorPoliticsBinary,cluster
1043,10638687,1,it contains hate speech and a threat towards a specific group of people,baseline,1,Karma is a bitch. Muslims will get what they deserve.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
1043,10638687,1,it contains hate speech and a threat towards a specific group of people,gender,1,Karma is a bitch. Muslims will get what they deserve.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
3510,3770894,1,it conveys a message of self-hatred and shame towards the lgbtq+ community,baseline,1,"""Like every other post is a """"reminder"""" that u gotta act exactly this way else ur garbage and buddy im just here to hang n be gay""",aae,False,False,True,40.0,woman,black; female,-1.0,black,5,1,4,4,4.0,liberal,2
3510,3770894,1,"it conveys a message of self-hatred and shame, and uses derogatory language towards the lgbtq+ community",gender,1,"""Like every other post is a """"reminder"""" that u gotta act exactly this way else ur garbage and buddy im just here to hang n be gay""",aae,False,False,True,40.0,woman,black; female,-1.0,black,5,1,4,4,4.0,liberal,2
644,49021087,0,it contains hate speech and explicit language,baseline,1,"to the dick at the drive thru who said ""NIGGER!"" to those ladies who SERVED YOUR COFFEE. What a fucking scumbag. A very most sincere FUCK YOU from me.",white,True,False,False,25.0,man,{},-1.0,black,1,1,3,1,2.0,liberal,0
644,49021087,0,it contains hate speech and explicit language,gender,1,"to the dick at the drive thru who said ""NIGGER!"" to those ladies who SERVED YOUR COFFEE. What a fucking scumbag. A very most sincere FUCK YOU from me.",white,True,False,False,25.0,man,{},-1.0,black,1,1,3,1,2.0,liberal,0
1850,49021087,1,it contains a racial slur and promotes a negative stereotype about a racial group,baseline,1,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",white,True,True,False,25.0,man,{},-1.0,black,5,5,5,5,5.0,liberal,2
1850,49021087,1,it contains a racial slur and promotes a negative stereotype about a racial group,gender,1,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",white,True,True,False,25.0,man,{},-1.0,black,5,5,5,5,5.0,liberal,2
668,64721988,0,it contains a racial slur and a derogatory term for people of low socioeconomic status,baseline,1,"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",aae,True,False,True,30.0,man,{},-1.0,black,1,2,4,1,2.5,liberal,1
668,64721988,0,it contains a racial slur and a derogatory term,gender,1,"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",aae,True,False,True,30.0,man,{},-1.0,black,1,2,4,1,2.5,liberal,1
1721,3770894,1,it contains a racial slur and makes a derogatory comment about the history of slavery,baseline,1,I don't get why all the blak!x are so mad at us. Its not like we had them as slaves. Although that would be great.,white,False,True,False,40.0,woman,black; female,-1.0,black,5,5,5,5,5.0,liberal,2
