postId,annId,offensiveYN,reasoning,source,prediction,tweet,dialAm,vulgar,targetsBlackPeople,isAAE,annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intent,racist,toany,toyou,off_avg,annotatorPoliticsBinary,cluster
545,10638687,0,it is a statement of equality between genders,baseline,0,Women are not fucking inferior to men,white,True,False,False,40.0,woman,{},-0.5,black,1,1,2,1,1.5,liberal,1
545,10638687,0,it is a statement of equality between genders,gender_race,0,Women are not fucking inferior to men,white,True,False,False,40.0,woman,{},-0.5,black,1,1,2,1,1.5,liberal,1
3368,49021087,0,it is a colloquial way to describe a social media action,baseline,0,Elite Sub level RT @DanaeLovesYou: Putting a song on your MySpace to sub whoever you were beefing with >>>>>>>>>>,aae,False,False,True,25.0,man,{},-1.0,black,1,1,1,1,1.0,liberal,1
3368,49021087,0,it is a colloquial way to describe a social media action,gender_race,0,Elite Sub level RT @DanaeLovesYou: Putting a song on your MySpace to sub whoever you were beefing with >>>>>>>>>>,aae,False,False,True,25.0,man,{},-1.0,black,1,1,1,1,1.0,liberal,1
1043,10638687,1,it contains hate speech and a threat towards a specific group of people,baseline,1,Karma is a bitch. Muslims will get what they deserve.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
1043,10638687,1,it contains a threat and a stereotype about muslims,gender_race,1,Karma is a bitch. Muslims will get what they deserve.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
334,3088028,0,it is a colloquial way to describe a frustrating situation,baseline,0,Ill try to find my mutuals again if Twitter stops being a bitch.,hispanic,True,False,False,30.0,woman,{},-0.5,black,3,1,2,2,2.0,liberal,1
334,3088028,0,it is a colloquial way to describe a frustrating situation,gender_race,0,Ill try to find my mutuals again if Twitter stops being a bitch.,hispanic,True,False,False,30.0,woman,{},-0.5,black,3,1,2,2,2.0,liberal,1
3446,3770894,0,"it is a response to a statement that is perceived as derogatory, but the context of the response is to show personal achievements and resilience",baseline,0,"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",aae,True,False,True,40.0,woman,black; female,-1.0,black,2,1,3,2,2.5,liberal,1
3446,3770894,0,it is a statement of self-empowerment and resilience in the face of adversity,gender_race,0,"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",aae,True,False,True,40.0,woman,black; female,-1.0,black,2,1,3,2,2.5,liberal,1
3510,3770894,1,it conveys a message of self-hatred and shame towards the lgbtq+ community,baseline,1,"""Like every other post is a """"reminder"""" that u gotta act exactly this way else ur garbage and buddy im just here to hang n be gay""",aae,False,False,True,40.0,woman,black; female,-1.0,black,5,1,4,4,4.0,liberal,0
3510,3770894,1,"it conveys a message of self-hatred and shame, and uses derogatory language towards the lgbtq+ community",gender_race,1,"""Like every other post is a """"reminder"""" that u gotta act exactly this way else ur garbage and buddy im just here to hang n be gay""",aae,False,False,True,40.0,woman,black; female,-1.0,black,5,1,4,4,4.0,liberal,0
644,49021087,0,it contains hate speech and explicit language,baseline,1,"to the dick at the drive thru who said ""NIGGER!"" to those ladies who SERVED YOUR COFFEE. What a fucking scumbag. A very most sincere FUCK YOU from me.",white,True,False,False,25.0,man,{},-1.0,black,1,1,3,1,2.0,liberal,0
644,49021087,0,it contains hate language and a racial slur,gender_race,1,"to the dick at the drive thru who said ""NIGGER!"" to those ladies who SERVED YOUR COFFEE. What a fucking scumbag. A very most sincere FUCK YOU from me.",white,True,False,False,25.0,man,{},-1.0,black,1,1,3,1,2.0,liberal,0
1850,49021087,1,it contains a racial slur and promotes a negative stereotype about a racial group,baseline,1,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",white,True,True,False,25.0,man,{},-1.0,black,5,5,5,5,5.0,liberal,0
1850,49021087,1,it contains a racial slur and promotes a negative stereotype about a racial group,gender_race,1,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",white,True,True,False,25.0,man,{},-1.0,black,5,5,5,5,5.0,liberal,0
668,64721988,0,it contains a racial slur and a derogatory term for people of low socioeconomic status,baseline,1,"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",aae,True,False,True,30.0,man,{},-1.0,black,1,2,4,1,2.5,liberal,0
668,64721988,0,it contains a racial slur and a derogatory term for people of low socioeconomic status,gender_race,1,"Where we come from, they don't give a thing, so we don't have shit, they leave us young niggas with no options",aae,True,False,True,30.0,man,{},-1.0,black,1,2,4,1,2.5,liberal,0
2815,3770894,0,it is a conversation between kids and one of them is expressing a personal opinion about a song,baseline,0,"""Me: *stares in shock at kid #2* Kid #1: *stares at kid #2* Kid #2: """"You shouldn't be singing that song. You're worshipping the devil.""""""",white,False,False,False,40.0,woman,black; female,-1.0,black,1,1,4,1,2.5,liberal,1
2815,3770894,0,it is a conversation between kids and does not contain any hate speech or explicit language,gender_race,0,"""Me: *stares in shock at kid #2* Kid #1: *stares at kid #2* Kid #2: """"You shouldn't be singing that song. You're worshipping the devil.""""""",white,False,False,False,40.0,woman,black; female,-1.0,black,1,1,4,1,2.5,liberal,0
3317,10638687,0,it is a quote from a famous person and the language used is informal but not derogatory,baseline,0,"Folks can say what they like about me, but they CAN'T say my views, the fruits of MY considerations AIN'T mine ~ #CriticalThinking",aae,False,False,True,40.0,woman,{},-0.5,black,2,1,2,2,2.0,liberal,1
3317,10638687,0,it is a quote from a famous person and the language used is not derogatory,gender_race,0,"Folks can say what they like about me, but they CAN'T say my views, the fruits of MY considerations AIN'T mine ~ #CriticalThinking",aae,False,False,True,40.0,woman,{},-0.5,black,2,1,2,2,2.0,liberal,1
1721,3770894,1,it contains a racial slur and makes a derogatory comment about the history of slavery,baseline,1,I don't get why all the blak!x are so mad at us. Its not like we had them as slaves. Although that would be great.,white,False,True,False,40.0,woman,black; female,-1.0,black,5,5,5,5,5.0,liberal,0
1721,3770894,1,it contains a racial slur and downplays the historical oppression of black people,gender_race,1,I don't get why all the blak!x are so mad at us. Its not like we had them as slaves. Although that would be great.,white,False,True,False,40.0,woman,black; female,-1.0,black,5,5,5,5,5.0,liberal,0
3410,10638687,0,it contains explicit language and the use of the word 'fuckin' is considered profane,baseline,1,Soooo fuckin mad I couldn't check out wit da @supreme,aae,True,False,True,40.0,woman,{},-0.5,black,2,1,2,2,2.0,liberal,0
3410,10638687,0,it contains explicit language and a derogatory term,gender_race,1,Soooo fuckin mad I couldn't check out wit da @supreme,aae,True,False,True,40.0,woman,{},-0.5,black,2,1,2,2,2.0,liberal,0
1710,49021087,1,it contains hate speech and makes a threat against a political group,baseline,1,"The ""powers that be"" want chaos and I really don't see any way out of the paths ahead. 1 = Biden wins and R's rebel, truckers protest, supply line disruptions, or 2 = Trump wins and it'll be a category 5: liberals rioting/ murdering and monkeys looting and stealing sail foams'",white,False,True,False,25.0,man,{},-1.0,black,4,4,4,5,4.5,liberal,0
1710,49021087,1,it contains hate speech and makes a derogatory comparison between political groups,gender_race,1,"The ""powers that be"" want chaos and I really don't see any way out of the paths ahead. 1 = Biden wins and R's rebel, truckers protest, supply line disruptions, or 2 = Trump wins and it'll be a category 5: liberals rioting/ murdering and monkeys looting and stealing sail foams'",white,False,True,False,25.0,man,{},-1.0,black,4,4,4,5,4.5,liberal,0
2317,3088028,0,it is a criticism of the actors in a tv show,baseline,0,I can understand criticizing the story or not liking a track but getting personal with the actors is where you cross the lines #Ishqbaaaz,white,False,False,False,30.0,woman,{},-0.5,black,1,1,1,1,1.0,liberal,1
2317,3088028,0,it is a criticism of a tv show and does not contain hate speech or explicit language,gender_race,0,I can understand criticizing the story or not liking a track but getting personal with the actors is where you cross the lines #Ishqbaaaz,white,False,False,False,30.0,woman,{},-0.5,black,1,1,1,1,1.0,liberal,0
949,49021087,1,it contains a derogatory term for people with intellectual disabilities,baseline,1,If they woulda prayed harder maybe they wouldn't have been given a retard kid,white,True,False,False,25.0,man,{},-1.0,black,4,1,5,5,5.0,liberal,1
949,49021087,1,it contains a derogatory term for people with intellectual disabilities,gender_race,1,If they woulda prayed harder maybe they wouldn't have been given a retard kid,white,True,False,False,25.0,man,{},-1.0,black,4,1,5,5,5.0,liberal,1
876,10638687,1,it promotes racial discrimination,baseline,1,chinese should not marry out of their race,white,False,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
876,10638687,1,it promotes racial discrimination,gender_race,1,chinese should not marry out of their race,white,False,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
1761,10638687,1,it is a statement that argues against racism,baseline,0,Uhm well it's pretty damn simple. Using negro when you're fighting a black man is absolutely not racist,white,True,True,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,1
1761,10638687,1,it is a statement that uses a racial slur in a context that is not derogatory,gender_race,0,Uhm well it's pretty damn simple. Using negro when you're fighting a black man is absolutely not racist,white,True,True,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,1
1833,10638687,1,it contains a racial slur and derogatory language,baseline,1,Bruh y'all some broke niggas tryanna sell it for bare notes don't worry about me I got u free my brothashahahhaaha this how they actually talk!,aae,True,True,True,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
1833,10638687,1,it contains a racial slur and derogatory language,gender_race,1,Bruh y'all some broke niggas tryanna sell it for bare notes don't worry about me I got u free my brothashahahhaaha this how they actually talk!,aae,True,True,True,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,0
2282,10638687,0,it is a normal sentence about schoolwork,baseline,0,And then for ICT I need to do my evaluation and for science I need to do an evaluation on one piece of coursework & add something to another,white,False,False,False,40.0,woman,{},-0.5,black,1,1,1,1,1.0,liberal,1
2282,10638687,0,it is a normal sentence about schoolwork,gender_race,0,And then for ICT I need to do my evaluation and for science I need to do an evaluation on one piece of coursework & add something to another,white,False,False,False,40.0,woman,{},-0.5,black,1,1,1,1,1.0,liberal,1
3486,10166032,1,it contains derogatory language and a racial slur,baseline,1,the FBI hacking into me and olivia's chatlogs: why are these hoes obsessed with ugly peoples,aae,True,False,True,45.0,man,{},0.0,black,4,1,5,3,4.0,neutral,0
3486,10166032,1,it contains derogatory language and a racial slur,gender_race,1,the FBI hacking into me and olivia's chatlogs: why are these hoes obsessed with ugly peoples,aae,True,False,True,45.0,man,{},0.0,black,4,1,5,3,4.0,neutral,0
722,10638687,1,it contains a racial slur,baseline,1,The Leeds goalkeeper called Charltons loanee striker Jonathan Leko a fucking nigger during a game at the Valley in September last year.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,1
722,10638687,1,it contains a racial slur,gender_race,1,The Leeds goalkeeper called Charltons loanee striker Jonathan Leko a fucking nigger during a game at the Valley in September last year.,white,True,False,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,liberal,1
3668,49021087,0,it is a colloquial way to express frustration and disappointment,baseline,0,"im so laid back & Understanding , i Don't know why i get lied to :woman_shrugging_medium_skin_tone: i Honestly Truly don't be giving A Fuck :bangbang:",aae,True,False,True,25.0,man,{},-1.0,black,1,1,1,1,1.0,liberal,1
