,offensiveYN,postId,annId,baseline,expl_baseline,race_political,expl_race_political,demographics,winner
0,0,545,10638687,0,[the sentence is not offensive][because][it is a statement of equality between genders],0,[the sentence is not offensive][because][it is a statement of equality between genders],"{'race': 'black', 'political': 'liberal'}",both
1,0,545,8526465,0,[the sentence is not offensive][because][it is a statement of equality between genders],0,[the sentence is not offensive][because][it is a statement of equality between genders],"{'race': 'black', 'political': 'neutral'}",both
2,0,3368,49021087,0,[the sentence is not offensive][because][it is a colloquial way to describe a social media action],0,[the sentence is not offensive][because][it is a colloquial way to describe a social media action],"{'race': 'black', 'political': 'liberal'}",both
3,0,3368,10166032,0,[the sentence is not offensive][because][it is a colloquial way to describe a social media action],0,[the sentence is not offensive][because][it is a colloquial way to describe a social media action],"{'race': 'black', 'political': 'neutral'}",both
4,1,1043,10638687,1,[the sentence is offensive][because][it contains hate speech and a threat towards a specific group of people],1,[the sentence is offensive][because][it conveys a message of hate and revenge against a specific group of people],"{'race': 'black', 'political': 'liberal'}",both
5,1,1043,10166032,1,[the sentence is offensive][because][it contains hate speech and a threat towards a specific group of people],1,[the sentence is offensive][because][it conveys a message of hate and revenge towards a specific group of people],"{'race': 'black', 'political': 'neutral'}",both
6,0,334,3088028,0,[the sentence is not offensive][because][it is a colloquial way to describe a frustrating situation],0,[the sentence is not offensive][because][it is a colloquial way to describe a frustrating situation],"{'race': 'black', 'political': 'liberal'}",both
7,0,334,10166032,0,[the sentence is not offensive][because][it is a colloquial way to describe a frustrating situation],0,[the sentence is not offensive][because][it is a colloquial way to describe a frustrating situation],"{'race': 'black', 'political': 'neutral'}",both
8,0,3446,3770894,0,"[the sentence is not offensive][because][it is a response to a statement that is perceived as derogatory, but the context of the response is to show personal achievements and resilience]",0,[the sentence is not offensive][because][it is a personal statement of self-empowerment and does not contain hate speech or explicit language],"{'race': 'black', 'political': 'liberal'}",both
9,1,3446,10166032,0,"[the sentence is not offensive][because][it is a response to a statement that is perceived as derogatory, but the context of the response is to show personal achievements and resilience]",0,[the sentence is not offensive][because][it is a personal statement of self-empowerment despite being insulted],"{'race': 'black', 'political': 'neutral'}",neither
10,1,3510,3770894,1,[the sentence is offensive][because][it conveys a message of self-hatred and shame towards the lgbtq+ community],0,[the sentence is not offensive][because][it is a personal statement and does not contain hate speech or explicit language],"{'race': 'black', 'political': 'liberal'}",baseline
11,0,3510,10166032,1,[the sentence is offensive][because][it conveys a message of self-hatred and shame towards the lgbtq+ community],0,[the sentence is not offensive][because][it is a personal statement and does not contain hate speech or explicit language],"{'race': 'black', 'political': 'neutral'}",race_political
12,0,644,49021087,1,[the sentence is offensive][because][it contains hate speech and explicit language],1,[the sentence is offensive][because][it contains hate language and a threat],"{'race': 'black', 'political': 'liberal'}",neither
13,1,644,10638687,1,[the sentence is offensive][because][it contains hate speech and explicit language],1,[the sentence is offensive][because][it contains hate language and a threat],"{'race': 'black', 'political': 'liberal'}",both
14,1,1850,49021087,1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about a racial group],1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about a racial group],"{'race': 'black', 'political': 'liberal'}",both
15,1,1850,3770894,1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about a racial group],1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about a racial group],"{'race': 'black', 'political': 'liberal'}",both
