,set,WorkerId,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,annotatorAge,annotatorGeneration,IntersectionMinority
0,train,-8935932304856669427,woman,,liberal,white,45.0,GenX,YesMinority
1,train,6347880360297734464,man,,mod-liberal,white,35.0,GenY,NoMinority
2,train,-7452610791699819066,man,,liberal,asian,23.0,GenZ,YesMinority
3,train,-500114755446676507,man,,liberal,white,25.0,GenY,NoMinority
5,train,7912096326098817047,woman,,liberal,white,32.0,GenY,YesMinority
8,train,118631008378348260,woman,"gender, sexuality, mental illness",liberal,white,28.0,GenY,YesMinority
10,train,2430897476320006833,man,,cons,white,32.0,GenY,NoMinority
12,train,1389628790122253253,man,"white, male",cons,white,31.0,GenY,NoMinority
14,train,6927542478311092738,woman,,liberal,white,24.0,GenY,YesMinority
15,train,-6837958490067487319,woman,women,liberal,white,34.0,GenY,YesMinority
16,train,-4903257119943710595,woman,none,liberal,white,32.0,GenY,YesMinority
17,train,8789702980570783632,woman,,other,hisp,27.0,GenY,YesMinority
19,train,4554125108380068779,man,,mod-liberal,white,27.0,GenY,NoMinority
21,train,-8810733183869606469,woman,,liberal,white,34.0,GenY,YesMinority
23,train,5330619308534303933,woman,female,mod-cons,white,35.0,GenY,YesMinority
26,train,-2877140746380073212,man,,cons,white,42.0,GenX,NoMinority
27,train,3541686222721437796,man,,liberal,white,37.0,GenY,NoMinority
28,train,-5471608738051449110,woman,,other,white,35.0,GenY,YesMinority
29,train,2428559182657536645,woman,,liberal,white,29.0,GenY,YesMinority
30,train,-1563458821535984332,woman,women,liberal,white,22.0,GenZ,YesMinority
31,train,980292540985390308,woman,,liberal,white,51.0,GenX,YesMinority
33,train,7067515179960755087,woman,"Woman, African American",mod-liberal,black,30.0,GenY,YesMinority
40,train,-7790343187498138255,man,,cons,white,49.0,GenX,NoMinority
41,train,1869048359460155317,woman,,mod-cons,white,22.0,GenZ,YesMinority
44,train,-7713443391178782699,man,,mod-liberal,white,27.0,GenY,NoMinority
