,offensiveYN,HITId,WorkerId,post
1803,0.0,3P7RGTLO6E7ORYF06RVZW5G2VCBKA0,-1638570835356793490,"I'm getting extremely frustrated cuz my WWE Network keeps glitching!! Idk if it's the network or shitty service, but it's pissing me off!!!!"
321,1.0,35JDMRECC43MFP0TW5C6UWE089QGEJ,-6352039173957003457,&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;
7316,1.0,35NNO802AVQ45MJ1FSFS5VLPVVVNIB,1993680211374950203,i would never <allcaps> rape a woman children are far too fun to pass up .
8064,0.0,341H3G5YF08NFGG4EQ1GUES2QRBZ0T,-3559048982681398316,"Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds."
10055,0.0,3LAZVA75NILICM5BR4UDX4ED4QKO23,6927542478311092738,Has anybody here with recessed maxillas/mandibles done double jaw (bimax) surgery?
3459,1.0,3MJ28H2Y1E2ABJOY9NWBVBHPLME5OT,1869048359460155317,Whats the first sign of AIDS? A rhythmic pounding sensation in your ass
1760,0.0,3CMV9YRYP3VACX0MLXKD44W0AZ9JLH,1147960939871721323,"""Just when you think the Swans are dead and buried... you here the Takers """"Gong""""! #GameOn #AFLSwansPies"""
2515,0.0,39WICJI5ATMJW8F1XDJZWCQ9RSR3Z0,6850748243603538565,"Still out here smilin as much as I can wishin people good days and actually meaning it , little shit but it can make a difference."
6825,1.0,3J9L0X0VDFG1HFZC3Z02OLZDCYGW91,446815182533233009,"Ugh, I can't. @Stevobrooo Nothing quite as degrading as a man using a feather duster. #GenderRoleShock #NotSexist #JustManly"
35,1.0,37S0QRNUFBAQD9KK04EIA91G9NA88R,-3114316428557054065,bitches dumb
761,0.0,3P0I4CQYVY14O23I5OJKLBU2600OWA,-397721847506341609,"if the Grand Prix of Paris is such a prestigious and important tournament then why not actually rank the guy who won it, Jimmy Kennedy"
1617,0.0,3CZH926SIC86397914A5L7HXJ5I4EO,-5471608738051449110,"lisa: plays message on machine lisa, halfway through the message: leaves the fucking house"
3405,1.0,3M47JKRKCXV39V1W7PHKQV5P2CL869,7067515179960755087,Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!
