Unnamed: 0,offensiveYN,postId,annId,demographics,prediction,parsed_output,tweet,isAAE,vulgar,targetsBlackPeople
9,1,3446,10166032,"{'race': 'black', 'political': 'neutral'}",0,[the sentence is not offensive][because][it is a personal statement of self-empowerment despite being insulted],"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",True,True,False
10,1,3510,3770894,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a personal statement and does not contain hate speech or explicit language],"""Like every other post is a """"reminder"""" that u gotta act exactly this way else ur garbage and buddy im just here to hang n be gay""",True,False,False
21,1,3317,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a statement of self-confidence and critical thinking],"Folks can say what they like about me, but they CAN'T say my views, the fruits of MY considerations AIN'T mine ~ #CriticalThinking",True,False,False
33,1,1761,10638687,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a statement that uses a racial slur in a context that is not derogatory],Uhm well it's pretty damn simple. Using negro when you're fighting a black man is absolutely not racist,False,True,True
34,1,1761,35379134,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a statement that uses a racial slur in a context that is not derogatory],Uhm well it's pretty damn simple. Using negro when you're fighting a black man is absolutely not racist,False,True,True
57,1,100,10166032,"{'race': 'black', 'political': 'neutral'}",0,[the sentence is not offensive][because][it is a general statement about people's behavior],They behave in such foolish ways that I'm suprised they're still around.,False,False,False
89,1,500,10166032,"{'race': 'black', 'political': 'neutral'}",0,[the sentence is not offensive][because][it is a subjective opinion about plums],plums are one of the reasons why the world sucks,False,True,False
90,1,3237,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],"""Finally got my gf to watch #WynonnaEarp last night. She kept calling Bobo """"The Badonkadonk"""" so you win some you lose some I guess.""",True,False,False
92,1,2656,10638687,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a metaphorical expression of the politicians' actions],The politicians -animals are dancing on the street of Pakistan-AAM ADMI are looking at them-and then look in the sky in search of God-,False,False,False
93,1,2656,10166032,"{'race': 'black', 'political': 'neutral'}",0,[the sentence is not offensive][because][it is a metaphorical expression of the politicians' actions and does not contain any hate speech or explicit language],The politicians -animals are dancing on the street of Pakistan-AAM ADMI are looking at them-and then look in the sky in search of God-,False,False,False
147,1,609,10638687,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a personal opinion about someone's behavior and contains strong language but is not directed at a protected group],What a narcisistic bitch. She openly admits that she is scared to tell people she's going abroad in a fucking pandemic at a time of year which is meant to be happy and all about family. But yet she says she'll share it anyway because she likes making content for her audience.,False,True,False
148,1,609,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a personal opinion about someone's behavior and contains strong language but is not directed at a protected group],What a narcisistic bitch. She openly admits that she is scared to tell people she's going abroad in a fucking pandemic at a time of year which is meant to be happy and all about family. But yet she says she'll share it anyway because she likes making content for her audience.,False,True,False
151,1,2799,10638687,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a fictional context and the language used is not derogatory],"""""""I am happy to report that drowning does kill this demonic entity. Oh holy are the waters of Chernarus!"""" Omg, DED ;)""",False,False,False
167,1,913,10166032,"{'race': 'black', 'political': 'neutral'}",0,[the sentence is not offensive][because][it is a neutral discussion about a religious topic],The definition of adultery is to adulterate (corrupt) your race. Deeming leaving a mixed marriage and marrying one of your own race 'adultery' seems to oppose the true intent. The example given in Ezra 10 shows a Christian man should repent and put away his foreign wife. (It helps to see this from a C.I. point of view.),False,False,False
193,1,646,74158862,"{'race': 'black', 'political': 'conservative'}",0,"[the sentence is not offensive][because][it is a message of love and support for a brother, although it contains a racial slur]",nothing hurts me worse than when I think be abt my brother! that shit hurt dawg i really miss my nigga,True,True,False
194,1,3561,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a political statement that does not contain hate speech or explicit language],#TripleTalaqArrest Its high time our Naton Muslim Women shld b free frm binding of Triple Talaq. Its making life of Muslim Women miserable,True,False,False
195,1,142,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a subjective opinion about a public figure],"Kamala Harris comes off as such an insufferable lying person. Sorry, its just true.",False,False,False
197,1,3594,41088410,"{'race': 'black', 'political': 'liberal'}",0,[the sentence is not offensive][because][it is a colloquial way to express frustration about hair styling],I just want my fucking hair done :woman_facepalming_medium-dark_skin_tone: guess I gotta try to do it myself cause I know another mf aint gone do it :face_with_rolling_eyes:,True,True,False
198,1,3594,74158862,"{'race': 'black', 'political': 'conservative'}",0,[the sentence is not offensive][because][it is a colloquial way to express frustration about hair styling],I just want my fucking hair done :woman_facepalming_medium-dark_skin_tone: guess I gotta try to do it myself cause I know another mf aint gone do it :face_with_rolling_eyes:,True,True,False
